property_id,id,displayPrice,deedDate,newBuild,tenure,percentageChange
1453684|PRINCESS COURT|11,35736384LR,"£45,000",1997-08-15,False,Leasehold,
"4813068|PARKWOOD HOUSE, 56|FLAT 4",21621250LR,"£385,000",2024-05-29,False,Leasehold,
1040377|3|,20808751LR,"£480,000",2024-05-29,False,Freehold,1.0
1040377|3|,91364637LR,"£475,000",2020-08-10,False,Freehold,48.0
1040377|3|,35654940LR,"£320,000",2010-05-14,False,Freehold,
1040461|100|,20808847LR,"£375,000",2024-05-29,False,Freehold,36.0
1040461|100|,9427669LR,"£275,000",2019-04-02,False,Freehold,
184371|PARK HILL COURT|24,22219600LR,"£277,500",2024-05-29,False,Leasehold,33.0
184371|PARK HILL COURT|24,35714229LR,"£208,000",2014-07-07,False,Leasehold,12.0
184371|PARK HILL COURT|24,35714202LR,"£186,000",2006-12-18,False,Leasehold,46.0
184371|PARK HILL COURT|24,35714166LR,"£127,000",2001-11-28,False,Leasehold,
1453584|672|,20808832LR,"£377,000",2024-05-29,False,Freehold,
1040653|172|,22219636LR,"£340,000",2024-05-30,False,Freehold,92.0
1040653|172|,35733522LR,"£177,500",2003-03-06,False,Freehold,118.0
1040653|172|,35733477LR,"£81,500",1998-07-27,False,Freehold,
1040628|58|,94252569LR,"£472,500",2024-05-30,False,Freehold,
4193743|4|FLAT 26,21620890LR,"£208,000",2024-05-30,False,Leasehold,-18.0
4193743|4|FLAT 26,13350454LR,"£254,000",2021-03-05,True,Leasehold,
"1251945|GROSVENOR COURT, 55|FLAT 5",13534258LR,"£154,500",2021-08-31,False,Leasehold,8.0
"1251945|GROSVENOR COURT, 55|FLAT 5",80426256LR,"£142,500",2015-06-19,False,Leasehold,55.0
"1251945|GROSVENOR COURT, 55|FLAT 5",80425953LR,"£91,995",2002-05-31,False,Leasehold,
4069449|RAILWAY HOUSE|APARTMENT 8,14820436LR,"£212,500",2021-09-01,False,Leasehold,29.0
4069449|RAILWAY HOUSE|APARTMENT 8,80429208LR,"£165,000",2009-02-27,True,Leasehold,
865357|33|,92847477LR,"£334,000",2021-09-01,False,Freehold,76.0
865357|33|,80436891LR,"£190,000",2009-11-12,False,Freehold,3.0
865357|33|,80436855LR,"£185,000",2005-05-25,False,Freehold,118.0
865357|33|,80436816LR,"£85,000",2000-05-19,False,Freehold,
3889038|JACKWOOD COURT|APARTMENT 33,15122644LR,"£220,000",2021-09-03,False,Leasehold,7.0
3889038|JACKWOOD COURT|APARTMENT 33,80429451LR,"£205,000",2015-07-31,False,Leasehold,24.0
3889038|JACKWOOD COURT|APARTMENT 33,80429370LR,"£165,000",2009-01-21,True,Leasehold,
4190918|LAKE COURT|48,14472487LR,"£230,000",2021-09-10,False,Leasehold,1.0
4190918|LAKE COURT|48,4398904LR,"£228,000",2016-05-12,False,Leasehold,30.0
4190918|LAKE COURT|48,80428965LR,"£175,000",2011-02-21,True,Leasehold,
1610315|6|,15122614LR,"£1,695,000",2021-09-10,False,Freehold,528.0
1610315|6|,80422929LR,"£270,000",1995-07-19,False,Freehold,
865240|5|GROUND FLOOR FLAT,13534237LR,"£250,000",2021-09-10,False,Leasehold,22.0
865240|5|GROUND FLOOR FLAT,88308816LR,"£205,000",2016-07-25,False,Leasehold,54.0
865240|5|GROUND FLOOR FLAT,80423385LR,"£133,500",2013-03-08,False,Leasehold,4.0
865240|5|GROUND FLOOR FLAT,80423316LR,"£128,000",2004-05-04,False,Leasehold,74.0
865240|5|GROUND FLOOR FLAT,80423286LR,"£73,500",2001-03-16,False,Leasehold,
865279|35|FLAT 5,93131388LR,"£197,500",2021-09-10,False,Leasehold,128.0
865279|35|FLAT 5,80425731LR,"£86,500",2001-08-13,False,Leasehold,57.0
865279|35|FLAT 5,80425722LR,"£55,000",1999-07-06,False,Leasehold,
1251944|19 - 21|FLAT 7,93462477LR,"£167,000",2021-09-13,False,Leasehold,6.0
1251944|19 - 21|FLAT 7,4949527LR,"£157,500",2017-01-04,False,Leasehold,56.0
1251944|19 - 21|FLAT 7,80425698LR,"£101,000",2012-08-24,False,Leasehold,-16.0
1251944|19 - 21|FLAT 7,80425686LR,"£120,000",2006-03-31,False,Leasehold,27.0
1251944|19 - 21|FLAT 7,80425668LR,"£94,250",2004-07-19,False,Leasehold,155.0
1251944|19 - 21|FLAT 7,80425635LR,"£37,000",1999-10-18,False,Leasehold,70.0
1251944|19 - 21|FLAT 7,80425614LR,"£21,750",1996-07-26,False,Leasehold,
865255|26|,14820394LR,"£607,500",2021-09-14,False,Freehold,17.0
865255|26|,7032124LR,"£520,000",2018-04-20,False,Freehold,22.0
865255|26|,80424126LR,"£425,000",2014-08-01,False,Freehold,35.0
865255|26|,80424105LR,"£315,000",2009-07-03,False,Freehold,11.0
865255|26|,80424087LR,"£283,500",2005-05-27,False,Freehold,50.0
865255|26|,80424063LR,"£189,000",2001-02-16,False,Freehold,139.0
865255|26|,80424042LR,"£79,000",1997-08-27,False,Freehold,
1251945|51|FLAT 3,92847441LR,"£190,000",2021-09-15,False,Leasehold,15.0
1251945|51|FLAT 3,80426244LR,"£165,000",2014-10-31,False,Leasehold,12.0
1251945|51|FLAT 3,80426100LR,"£147,000",2005-07-11,False,Leasehold,13.0
1251945|51|FLAT 3,80426019LR,"£130,000",2004-03-31,True,Leasehold,
865281|157A|FLAT 3,17878867LR,"£160,000",2021-09-16,False,Leasehold,
865289|42|,14472484LR,"£295,000",2021-09-21,False,Freehold,23.0
865289|42|,55729070LR,"£240,000",2018-01-05,False,Freehold,233.0
865289|42|,80428680LR,"£72,000",1999-11-19,False,Freehold,24.0
865289|42|,80428671LR,"£58,000",1998-01-23,False,Freehold,21.0
865289|42|,80428662LR,"£48,000",1996-06-07,False,Freehold,
865302|35|,13778272LR,"£390,000",2021-09-22,False,Freehold,78.0
865302|35|,80431749LR,"£218,500",2010-05-14,False,Freehold,90.0
865302|35|,80431686LR,"£115,000",2001-05-25,False,Freehold,
"865286|KNIGHTSBRIDGE COURT, 179 - 183|FLAT 2",15726946LR,"£270,000",2021-09-22,False,Leasehold,17.0
"865286|KNIGHTSBRIDGE COURT, 179 - 183|FLAT 2",80427894LR,"£230,000",2015-04-30,False,Leasehold,39.0
"865286|KNIGHTSBRIDGE COURT, 179 - 183|FLAT 2",80427870LR,"£165,000",2009-07-03,False,Leasehold,-6.0
"865286|KNIGHTSBRIDGE COURT, 179 - 183|FLAT 2",80427810LR,"£175,000",2002-10-31,True,Leasehold,
1251984|23|,14820478LR,"£475,000",2021-09-22,False,Freehold,51.0
1251984|23|,80437803LR,"£315,000",2010-06-11,False,Freehold,91.0
1251984|23|,80437755LR,"£165,000",2002-09-30,False,Freehold,166.0
1251984|23|,80437710LR,"£62,000",1996-04-19,False,Freehold,
865288|116A|,14820418LR,"£1,000,000",2021-09-22,False,Freehold,89.0
865288|116A|,80428527LR,"£530,000",2007-07-12,False,Freehold,112.0
865288|116A|,80428398LR,"£250,000",2000-05-05,True,Freehold,
1251908|56|FLAT 1,14472418LR,"£230,000",2021-09-24,False,Leasehold,12.0
1251908|56|FLAT 1,91110474LR,"£205,000",2019-08-08,False,Leasehold,147.0
1251908|56|FLAT 1,80417868LR,"£83,000",2002-03-22,False,Leasehold,108.0
1251908|56|FLAT 1,80417661LR,"£39,950",1996-08-19,False,Leasehold,
865350|116A|,13778290LR,"£200,000",2021-09-24,False,Leasehold,0.0
865350|116A|,6028816LR,"£200,000",2017-11-23,False,Leasehold,
1251984|34|,14820481LR,"£950,000",2021-09-24,False,Freehold,81.0
1251984|34|,80437812LR,"£525,000",2011-07-08,False,Freehold,28.0
1251984|34|,80437761LR,"£410,500",2004-12-14,False,Freehold,75.0
1251984|34|,80437731LR,"£235,000",1998-10-28,False,Freehold,
865301|7|,14820448LR,"£320,000",2021-09-24,False,Leasehold,205.0
865301|7|,80431365LR,"£105,000",1995-10-05,False,Leasehold,
"865146|GRANTLEY COURT, 28 - 33|FLAT 15",14131318LR,"£247,500",2021-09-24,False,Leasehold,
3821423|GARDEN HOUSE|FLAT 19,14472529LR,"£380,000",2021-09-24,False,Leasehold,43.0
3821423|GARDEN HOUSE|FLAT 19,80438127LR,"£265,000",2005-09-28,True,Leasehold,
1610338|44|,14472517LR,"£755,000",2021-09-27,False,Freehold,91.0
1610338|44|,80435880LR,"£395,000",2011-08-03,False,Freehold,
865176|54|FLAT 3,16041787LR,"£225,000",2021-09-27,False,Leasehold,3.0
865176|54|FLAT 3,4398856LR,"£218,500",2016-06-10,False,Leasehold,
76717|7|,21057757LR,"£600,000",2024-03-22,False,Freehold,
76771|152|,21332128LR,"£430,000",2024-03-22,False,Freehold,5.0
76771|152|,14202118LR,"£410,000",2021-06-23,False,Freehold,
1004821|48|LOWER GROUND FLOOR FLAT,21057562LR,"£205,000",2024-03-22,False,Leasehold,247.0
1004821|48|LOWER GROUND FLOOR FLAT,28909989LR,"£59,000",2001-03-12,False,Leasehold,
1004861|97|,21057625LR,"£455,000",2024-03-22,False,Freehold,57.0
1004861|97|,28928079LR,"£290,000",2007-06-01,False,Freehold,
76458|18|,21057631LR,"£752,000",2024-03-25,False,Freehold,36.0
76458|18|,89994534LR,"£554,000",2017-10-20,False,Freehold,
76499|94|,21057643LR,"£1,100,000",2024-03-25,False,Freehold,100.0
76499|94|,28935747LR,"£550,000",2014-09-17,False,Freehold,143.0
76499|94|,28935693LR,"£226,000",2000-01-02,False,Freehold,
76452|19|,93982812LR,"£542,500",2024-03-25,False,Freehold,131.0
76452|19|,28928229LR,"£235,000",2004-08-04,False,Freehold,207.0
76452|19|,28928160LR,"£76,500",1998-09-18,False,Freehold,
1304118|15|,21332056LR,"£1,080,000",2024-03-25,False,Freehold,49.0
1304118|15|,28952640LR,"£725,000",2015-01-30,False,Freehold,142.0
1304118|15|,28952550LR,"£300,000",2001-05-31,False,Freehold,
1004881|172|,20323660LR,"£1,350,000",2024-03-25,False,Freehold,46.0
1004881|172|,28934637LR,"£925,000",2011-07-07,False,Freehold,
1428634|22|,21332083LR,"£432,000",2024-03-25,False,Freehold,
76799|3|,21057784LR,"£400,000",2024-03-25,False,Freehold,
1004851|38|,20561935LR,"£375,000",2024-03-27,False,Leasehold,594.0
1004851|38|,28920036LR,"£54,000",1997-01-31,False,Leasehold,
76532|17|,20323681LR,"£325,000",2024-03-27,False,Leasehold,2.0
76532|17|,89761794LR,"£320,000",2017-02-24,False,Leasehold,56.0
76532|17|,28942707LR,"£205,000",2011-12-23,False,Leasehold,18.0
76532|17|,28942587LR,"£173,000",2004-08-06,False,Leasehold,36.0
76532|17|,28942527LR,"£127,500",2001-09-14,False,Leasehold,
76155|5|TOP FLOOR,22705912LR,"£915,000",2024-03-27,False,Leasehold,
76633|THE PARK APARTMENTS|8,21332077LR,"£350,000",2024-03-27,False,Leasehold,68.0
76633|THE PARK APARTMENTS|8,28958310LR,"£208,500",2006-02-13,False,Leasehold,19.0
76633|THE PARK APARTMENTS|8,28958208LR,"£175,000",2002-03-21,True,Leasehold,
1304039|53 - 54|FLAT 8,20323552LR,"£475,000",2024-03-28,False,Leasehold,46.0
1304039|53 - 54|FLAT 8,87828624LR,"£325,000",2016-07-01,False,Leasehold,76.0
1304039|53 - 54|FLAT 8,28868604LR,"£185,000",2006-05-19,False,Leasehold,
1004779|97E|,20323582LR,"£200,000",2024-03-28,False,Leasehold,10.0
1004779|97E|,17937601LR,"£181,500",2022-09-12,False,Leasehold,
1428567|310|,21057592LR,"£1,165,000",2024-03-28,False,Freehold,152.0
1428567|310|,28916703LR,"£463,000",2002-06-11,False,Freehold,
76689|62|,21057733LR,"£538,500",2024-03-28,False,Freehold,48.0
76689|62|,28962405LR,"£365,000",2015-02-16,False,Freehold,
1720831|102|,21332026LR,"£519,000",2024-03-28,False,Freehold,
76744|14|,20780941LR,"£425,000",2024-03-28,False,Freehold,
1304041|ASTRA HOUSE|FLAT 42,20323555LR,"£175,800",2024-03-28,False,Leasehold,0.0
1304041|ASTRA HOUSE|FLAT 42,20561836LR,"£175,800",2024-03-28,False,Leasehold,120.0
1304041|ASTRA HOUSE|FLAT 42,28870263LR,"£80,000",2011-04-28,False,Leasehold,142.0
1304041|ASTRA HOUSE|FLAT 42,28870191LR,"£33,000",1999-12-17,False,Leasehold,
76186|17|,21331852LR,"£479,000",2024-03-28,False,Leasehold,219.0
76186|17|,28890648LR,"£150,000",1998-12-18,False,Freehold,
1004858|WOODSIDE LODGE|FLAT 7,21331957LR,"£225,000",2024-03-28,False,Leasehold,246.0
1004858|WOODSIDE LODGE|FLAT 7,28926471LR,"£65,000",1999-11-30,False,Leasehold,16.0
1004858|WOODSIDE LODGE|FLAT 7,28926429LR,"£56,000",1998-08-12,False,Leasehold,
75982|26|,22194946LR,"£520,000",2024-04-03,False,Freehold,46.0
75982|26|,28865247LR,"£355,000",2010-09-01,False,Leasehold,32.0
75982|26|,28865208LR,"£269,500",2002-05-31,False,Leasehold,
1093131|10|,93814584LR,"£530,000",2023-05-12,False,Freehold,31.0
1093131|10|,44790051LR,"£405,000",2015-08-26,False,Freehold,371.0
1093131|10|,44789997LR,"£86,000",1996-03-29,False,Freehold,34.0
1093131|10|,44789994LR,"£64,000",1995-07-28,False,Freehold,
1336297|19|,93580404LR,"£1,360,000",2023-05-12,False,Freehold,18.0
1336297|19|,10480642LR,"£1,150,000",2019-08-09,False,Freehold,67.0
1336297|19|,44784945LR,"£690,000",2009-04-15,False,Freehold,5.0
1336297|19|,44784912LR,"£655,000",2004-07-30,False,Freehold,356.0
1336297|19|,44784873LR,"£143,500",1996-01-10,False,Freehold,
348412|9|,19205065LR,"£1,650,000",2023-05-15,False,Freehold,
348395|53|,18521203LR,"£530,000",2023-05-15,False,Freehold,10.0
348395|53|,92636826LR,"£483,000",2021-08-13,False,Freehold,49.0
348395|53|,44783925LR,"£323,500",2007-11-23,False,Freehold,161.0
348395|53|,44783811LR,"£124,000",1998-10-30,False,Freehold,
1093075|76|,18521185LR,"£400,000",2023-05-15,False,Freehold,3100.0
1093075|76|,44776353LR,"£12,500",1996-11-06,False,Freehold,
348502|22|,93814575LR,"£525,000",2023-05-18,False,Freehold,25.0
348502|22|,92636862LR,"£420,000",2021-08-20,False,Freehold,
348421|19|,93814545LR,"£2,100,000",2023-05-18,False,Freehold,223.0
348421|19|,44785659LR,"£650,000",2006-03-27,False,Freehold,
1491102|46|,93580425LR,"£500,000",2023-05-19,False,Freehold,
4777061|WELLAND HOUSE|FLAT 13,19673827LR,"£550,000",2023-05-19,False,Leasehold,6.0
4777061|WELLAND HOUSE|FLAT 13,15561052LR,"£520,000",2021-04-09,True,Leasehold,
348437|14|FLAT 6,93814551LR,"£368,000",2023-05-19,False,Leasehold,2.0
348437|14|FLAT 6,4523074LR,"£360,000",2016-10-18,False,Leasehold,
348524|DRUMMOND COURT|8,93814596LR,"£260,000",2023-05-19,False,Leasehold,333.0
348524|DRUMMOND COURT|8,44792721LR,"£60,000",1997-05-23,False,Leasehold,
348526|56|,93814605LR,"£650,000",2023-05-19,False,Freehold,5.0
348526|56|,15561112LR,"£620,000",2022-06-15,False,Freehold,91.0
348526|56|,44793933LR,"£324,000",2013-03-05,False,Freehold,71.0
348526|56|,44793876LR,"£190,000",2002-08-02,False,Freehold,
348479|65|,93814560LR,"£400,000",2023-05-22,False,Freehold,269.0
348479|65|,44788881LR,"£108,500",1998-12-04,False,Freehold,
